Agency,State,Population,Violent Crime rate,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Vehicular,Year
Stockton Police Dept,CA,176633.0,883.8,15.3,51.5,399.1,417.8,10093.2,2809.8,6663.0,620.5,1985
Sunnyvale Dept Of Public Safety,CA,113805.0,196.8,4.4,25.5,72.9,94.0,3321.5,710.9,2381.3,229.3,1985
Syracuse Police Dept,NY,164659.0,615.2,7.3,48.6,334.6,224.7,6702.9,2272.0,4172.3,258.7,1985
St. Petersburg Police Dept,FL,249879.0,1281.4,10.0,81.6,444.6,745.2,7174.7,2303.1,4631.8,239.7,1985
Tacoma Police Dept,WA,161625.0,1243.6,8.0,172.6,396.0,667.0,11750.7,4415.8,6770.6,564.3,1985
Tempe Police Dept,AZ,123534.0,,,,,,,,,,1985
Toledo Police Dept,OH,343677.0,628.2,7.9,68.7,282.2,269.4,6626.9,1705.4,4376.8,544.7,1985
Topeka Police Dept,KS,119540.0,580.6,5.0,46.8,189.1,339.6,7180.0,1878.0,5051.9,250.1,1985
Torrance Police Dept,CA,136728.0,464.4,2.9,27.1,242.1,192.4,4785.4,1091.2,2872.1,822.1,1985
Tucson Police Dept,AZ,381473.0,973.3,8.4,77.9,275.5,611.6,9053.3,2598.9,5920.7,533.7,1985
Tulsa Police Dept,OK,374875.0,774.1,8.8,71.5,212.3,481.5,7936.0,2421.6,4142.7,1371.7,1985
Tallahassee Police Dept,FL,116252.0,1027.1,2.6,61.9,223.7,738.9,8446.3,2473.9,5587.0,385.4,1985
Tampa Police Dept,FL,285280.0,2402.9,24.5,101.0,931.4,1346.0,12238.9,4247.4,7210.5,781.0,1985
Virginia Beach Police Dept,VA,312584.0,176.0,5.4,31.4,65.6,73.6,4907.2,1047.1,3670.4,189.7,1985
City Of Waco Police Dept,TX,106616.0,741.9,7.5,72.2,173.5,488.7,8445.3,2680.6,5378.2,386.4,1985
Warren Police Dept,MI,152260.0,658.1,5.9,32.2,178.6,441.4,6599.2,1136.9,4134.4,1328.0,1985
Washington Metropolitan Police Dept,DC,626000.0,1624.8,23.5,53.8,835.5,712.0,6374.4,1598.2,3973.5,802.7,1985
Waterbury Police Dept,CT,103507.0,395.1,4.8,33.8,222.2,134.3,6258.5,1608.6,4161.1,488.9,1985
Wichita Police Dept,KS,284915.0,586.8,9.1,87.4,245.3,245.0,7047.4,1699.5,4953.8,394.2,1985
Wichita Falls Police Dept,TX,101258.0,606.4,9.9,63.2,239.0,294.3,7799.9,1895.2,5517.6,387.1,1985
Winston-Salem Police Dept,NC,145468.0,1298.6,11.0,52.9,197.3,1037.3,5980.0,1784.6,3844.8,350.6,1985
Worcester Police Dept,MA,160518.0,947.6,3.7,67.9,397.5,478.5,6342.0,2123.1,3475.6,743.2,1985
Yonkers Police Dept,NY,191746.0,513.2,11.0,15.6,380.7,105.9,4303.1,1064.4,2505.4,733.3,1985
Abilene Police Dept,TX,112848.0,448.4,10.6,42.5,156.0,239.3,6140.1,2083.3,3744.0,312.8,1986
Akron City Police Dept,OH,226877.0,1077.7,11.0,71.8,298.0,696.9,6678.9,1452.3,4659.4,567.3,1986
Albuquerque Police Dept,NM,364196.0,1178.5,13.5,67.8,342.7,754.5,8573.4,2676.0,5351.5,545.9,1986
Alexandria Police Dept,VA,109902.0,662.4,3.6,51.9,406.7,200.2,6059.9,1365.8,3954.4,739.7,1986
Allentown City Police Dept,PA,103801.0,443.2,9.6,39.5,222.5,171.5,5255.2,1536.6,3459.5,259.1,1986
Amarillo Police Dept,TX,169927.0,522.0,12.4,47.7,161.8,300.1,7637.4,2149.7,5094.0,393.7,1986
Amherst Town Police Dept,NY,108505.0,226.7,0.0,3.7,41.5,181.6,2505.9,496.8,1802.7,206.4,1986
Anaheim Police Dept,CA,245897.0,551.9,4.5,45.1,282.6,219.6,6745.5,2176.5,3738.6,830.4,1986
Anchorage Police Dept,AK,238235.0,502.9,7.1,70.1,138.5,287.1,6414.3,1185.4,4647.1,581.8,1986
Ann Arbor Police Dept,MI,108461.0,690.6,2.8,40.6,200.1,447.2,9100.0,1616.2,6946.3,537.5,1986
Arlington Police Dept,TX,223106.0,649.9,9.9,53.8,232.2,354.1,8419.8,2005.8,5496.5,917.5,1986
Atlanta Police Dept,GA,445617.0,2953.7,41.7,152.8,1218.1,1541.0,11199.3,3019.2,6817.5,1362.6,1986
Aurora Police Dept,CO,200189.0,1432.6,5.5,59.9,289.7,1077.5,7416.0,2053.1,4782.5,580.5,1986
Austin Police Dept,TX,414220.0,643.9,11.6,93.7,271.4,267.2,10426.6,3006.6,6872.9,547.1,1986
Bakersfield Police Dept,CA,137114.0,1188.1,16.0,67.8,533.9,570.3,9484.8,3247.7,5461.9,775.3,1986
Baltimore City Police Dept,MD,783542.0,1943.6,30.6,84.2,1019.6,809.1,6514.5,1827.7,3809.6,877.2,1986
Baton Rouge Police Dept,LA,246388.0,2066.3,20.7,73.5,496.8,1475.3,12399.5,3900.4,7620.1,879.1,1986
Beaumont Police Dept,TX,128706.0,863.2,10.9,81.6,349.6,421.1,7599.5,2711.6,4456.7,431.2,1986
Berkeley Police Dept,CA,109262.0,1170.6,11.9,50.3,656.2,452.1,10971.8,2724.6,7423.4,823.7,1986
Birmingham Police Dept,AL,286756.0,1314.4,30.7,113.3,552.0,618.3,8612.5,2714.5,4674.7,1223.3,1986
Boise Police Dept,ID,107434.0,389.1,0.0,52.1,52.1,284.8,6646.9,1912.8,4425.0,309.0,1986
Boston Police Dept,MA,574107.0,2159.0,18.3,89.9,1084.3,966.5,9860.9,1826.3,4625.1,3409.5,1986
Bridgeport Police Dept,CT,143708.0,1382.7,27.8,52.2,725.8,576.9,8367.7,2305.4,4353.3,1709.0,1986
Buffalo Police Dept,NY,339685.0,1105.4,10.3,82.7,451.3,561.1,6221.6,1981.0,3327.5,913.2,1986
Cedar Rapids Police Dept,IA,106482.0,218.8,1.9,11.3,102.4,103.3,7869.9,1732.7,5770.9,366.3,1986
Charlotte-Mecklenburg Police Department,NC,339767.0,1614.9,15.6,89.8,427.9,1081.6,8798.4,2824.9,5485.2,488.3,1986
Chattanooga Police Dept,TN,167406.0,1067.5,14.9,77.7,268.2,706.7,6867.1,1674.4,4225.7,967.1,1986
Chesapeake Police Dept,VA,129418.0,404.1,7.7,37.1,144.5,214.8,3804.7,1332.1,2289.5,183.1,1986
Chicago Police Dept,IL,3003105.0,,24.8,,1029.5,1116.5,7543.4,1873.9,4054.2,1615.4,1986
Cincinnati Police Dept,OH,370482.0,901.5,12.4,78.5,328.2,482.3,6574.9,1628.7,4634.2,312.0,1986
Cleveland,OH,546544.0,1301.8,22.7,141.4,676.6,461.1,6791.8,2182.4,2461.5,2147.9,1986
Colorado Springs,CO,254629.0,610.7,9.0,70.7,234.1,296.9,8356.5,2498.1,5399.6,458.7,1986
Columbia Police Dept,SC,100959.0,1499.6,10.9,100.0,441.8,946.9,10552.8,2642.7,7347.5,562.6,1986
Columbus Police Dept,GA,182836.0,436.5,15.3,52.0,190.9,178.3,4744.7,1185.2,3269.0,290.4,1986
Columbus Police Dept,OH,566115.0,909.4,13.8,97.2,398.3,400.1,7313.7,2141.1,4679.4,493.2,1986
Concord Police Dept,CA,109318.0,423.5,5.5,23.8,86.9,307.4,5728.2,1292.6,3974.6,461.0,1986
Corpus Christi Police Dept,TX,269260.0,503.2,13.0,75.8,134.4,280.0,8255.2,2320.1,5475.0,460.2,1986
Clearwater Police Dept,FL,102410.0,641.5,5.9,31.2,204.1,400.4,6881.2,1807.4,4715.4,358.4,1986
Dallas Police Dept,TX,1016488.0,1896.2,34.1,123.5,913.8,824.8,13246.7,3709.1,7942.4,1595.1,1986
Davenport Police Dept,IA,100073.0,1039.2,0.0,48.0,129.9,861.4,6662.1,1848.7,4589.6,223.8,1986
Dayton,OH,181159.0,1436.3,28.2,120.9,788.3,499.0,7709.8,2222.4,4963.6,523.8,1986
Denver Police Dept,CO,518625.0,896.6,17.5,81.8,404.7,392.6,9837.7,3313.0,5252.0,1272.8,1986
Des Moines Police Dept,IA,186991.0,689.9,9.6,47.6,236.4,396.3,10905.9,2611.9,7859.2,434.8,1986
Detroit Police Dept,MI,1096947.0,2486.6,59.1,123.2,1497.0,807.4,10313.9,3553.0,3851.6,2909.3,1986
Durham Police Dept,NC,104750.0,607.2,19.1,45.8,268.3,274.0,8773.3,2568.0,5774.7,430.5,1986
El Paso Police Dept,TX,483925.0,978.3,9.5,40.9,214.7,713.1,6827.3,1899.1,4394.3,534.0,1986
